关键词,标题,状态,价格,需求分类,描述,详情链接
爬虫,网页数据抓取采集商品描述图片文件,已完结,1500元,数据获取,采集网站：三个品牌厂家官网 采集内容：商品描述信息、图片、PDF附件 商品数量：约9千个商品左右，3个站数量分别在5k、1.5k、2.5k 期望交付周期：1周左右 具体采集要求及说明见附件 真实需求！急！后续长期有需求~ 注意！需开票！ • 企业信息 所属行业：零售业 | 成立时间：1996年05月 | 公司规模 ：1000 - 4999,https://www.zbj.com/xq/CpCohz0KVZcB2Up3.html
爬虫,写一个数据获取代码，抓取网页数据,已完结,1000元,数据分析,抓取这个网页的数据： http://liuyan.people.com.cn/forum/list,https://www.zbj.com/xq/8ahByRKSChPpuhwy.html
爬虫,Hyperliquid抓取链上数据并分析,进行中,5000元,数据处理软件开发,【核心目标】 本次需求的核心是开发一款数据处理软件。 【具体要求】 开发模式为定制开发，软件功能为其他，使用GO语言进行，主要与Hyperliquid链进行交互，目前已经有现成的开发框架，包括需要抓取的数字字段及用于分析筛选的字段。,https://www.zbj.com/xq/6bqLwMglQVvJEe7K.html
爬虫,一次性抓取单个网站的数据,进行中,300元,其他数据服务,- 抓取某个网站上的基础信息 - 非常简单，只是稍微耗时间一些 - 方式不限，但是要确保数据准确,https://www.zbj.com/xq/0lALvbXUxq7YDuz0.html
爬虫,找人开发数据抓取工具,进行中,待服务商报价,数据处理软件开发,• 应用场景：给定三个网站，通过传输关键词后，从它们那里获取相关数据及其附件。,https://www.zbj.com/xq/YjNCg7wplsr1njwM.html
爬虫,定制网页数据抓取处理软件开发招标,进行中,待服务商报价,数据处理软件开发,现招标定制开发一款网页数据抓取处理软件，功能方向为其他相关类，欢迎有相关经验的服务商投标，具体细节可进一步沟通。,https://www.zbj.com/xq/hgkiF8Zk3R3NUFL2.html
爬虫,抓取特定网站一些数据,进行中,待服务商报价,数据开发,用python脚本编写程序，抓取指定某网站上的相关小区的测评和点评信息。 详细需求说明见文档,https://www.zbj.com/xq/PTptAuDe4erdK7zK.html
爬虫,数据抓取， 整理清洗,进行中,待服务商报价,数据分析,需要长期固定合作，抓取网站或者APP数据特定， 整理形成结构化报告。,https://www.zbj.com/xq/UAnbMDrwUTz3FPd6.html
爬虫,我需要网页数据抓取软件开发,进行中,待服务商报价,数据处理软件开发,网页数据抓取服务—不同设备类型（双向变流装置、能馈装置、充电装置、调度系统、能量管控平台等）的公开招投标数据，数量、价格、需求方、供货商等等 需要从招投标网页上抓取,https://www.zbj.com/xq/Fuxf0dVTwhUjF5xJ.html
爬虫,python 抓取自己店铺电商的订单数据,进行中,300元,数据挖掘,抓取速卖通后台的订单数据，登入的反爬验证，如果比较难，可以人工介入输入账号密码； 1.输入账号密码登入速卖通卖家后台 这个地方可以停留，人工介入，输入订单筛选条件 2.抓取里面的销售订单数据。订单号 3.逐个进入每一笔订单，抓取里面的，订单金额，佣金，预计可得等等； 4.把抓取的数据保存到excel表中或者后台数据库中；,https://www.zbj.com/xq/XgMPYqJSRCHcOGHf.html
爬虫,数据抓取,进行中,待服务商报价,其他数据服务,数据抓取,https://www.zbj.com/xq/QInHivb91TpBdUm1.html
爬虫,数据抓取,进行中,5000元,网站定制开发,抓取指定网站数据，并按照规则建立模型。,https://www.zbj.com/xq/36aOyariGgwxLgMu.html
爬虫,数据抓取,进行中,30000元,数据分析,我需要软件开发,https://www.zbj.com/xq/A68C21FSq6IzImjU.html
爬虫,数据抓取,进行中,10000-15000元,其他数据服务,**行业，需要有杭州的****,https://www.zbj.com/xq/KMoyBaP4OLSicmlK.html
爬虫,python数据抓取及图片抓取,进行中,1800元,数据开发,根据某一条件抓取，形成列表；将列表中到另一地址查询；将查询结果页面以图片形式进行保存。,https://www.zbj.com/xq/absRMkxuwArylEVW.html
爬虫,信息数据抓取,进行中,500-1500元,数据计算,见需求，有成熟的经验再联系， 没做过，不会处理需求中的核心问题不要联系，以目标为导向，只能能实现不限语言,https://www.zbj.com/xq/a22h2oP3aRlO69mp.html
爬虫,数据收集，数据抓取,进行中,500-1000元,其他微信开发,1、**小程序模拟**点击，抓取图片功能（有页面滚动的需要抓全图） 2、抓取小程序“研新生考研”》调剂天眼 3、抓取的数据：找院校、查专业、调剂天眼,https://www.zbj.com/xq/drKXNWTM66VwBfg4.html
爬虫,开发数据抓取,进行中,8000元,数据开发,要用某个关键字定期搜索下社交网络，然后把搜索结果的标题导入数据库，并进行情感分析 社交网络 支持 B 微 抖 要有源代码，用python 语言，scrapy框架 针对网站的cookie部分可以用半自动的。我定期抓取登录后的cookie导入程序,https://www.zbj.com/xq/CQ06uTd7jR05ikN3.html
爬虫,app数据抓取,进行中,待服务商报价,数据分析,• 应用场景：抓取APP,https://www.zbj.com/xq/rgs5t2Q04uHKdydG.html
爬虫,数据抓取服务,进行中,200元,其他数据服务,我是个人 我喜欢玩ZHUCAI 我分析ZHUCAI喜欢用EXEL表格 我需要一个网络数据抓取工具，按照我需要的EXEL格式。,https://www.zbj.com/xq/571xbzpZWvnTJOxK.html
爬虫,python数据抓取,进行中,100元,数据可视化,python数据抓取,https://www.zbj.com/xq/SOJzPYU34CW0IVkW.html
爬虫,国外app数据抓取,进行中,3000元,数据开发,国外app，我们自己有登录账号和密码，要求抓取订单 api ，获取 店铺信息，配送距离，配送地址，骑手佣金信息 长期数据抓取，有需要可以部署到我们自己的服务器,https://www.zbj.com/xq/I4WGE08HVKz4Y5sQ.html
爬虫,社媒app数据抓取,进行中,5000元,其他数据服务,采集各大主流社交平台数据,https://www.zbj.com/xq/C3LzNnrqXALq0DIB.html
爬虫,网页数据抓取采集商品描述图片文件,已完结,1500元,数据获取,采集网站：三个品牌厂家官网 采集内容：商品描述信息、图片、PDF附件 商品数量：约9千个商品左右，3个站数量分别在5k、1.5k、2.5k 期望交付周期：1周左右 具体采集要求及说明见附件 真实需求！急！后续长期有需求~ 注意！需开票！ • 企业信息 所属行业：零售业 | 成立时间：1996年05月 | 公司规模 ：1000 - 4999,https://www.zbj.com/xq/CpCohz0KVZcB2Up3.html
爬虫,写一个数据获取代码，抓取网页数据,已完结,1000元,数据分析,抓取这个网页的数据： http://liuyan.people.com.cn/forum/list,https://www.zbj.com/xq/8ahByRKSChPpuhwy.html
python开发,Python 开发的内网B/S应用维护,进行中,15000元,网站二次开发,【核心目标】 本项目是个小应用，本次需求的核心是进行网站二次开发，4个小功能。 【具体要求】 适配终端为PC网站，网站展示语言为中文，需实现其他特定功能。 【技术情况】 前端是reactjs+html 后端用python 希望找一个在西安的团队或者个人,https://www.zbj.com/xq/lPTO1nGF2dyQg9xF.html
python开发,python高级开发人员,进行中,11200元,数据处理软件开发,驻场服务，进行系统搭建调试工作。,https://www.zbj.com/xq/uxEaORseGOSshHer.html
python开发,使用python开发安卓app，简单,进行中,50元,前端开发工程师,1. 使用python开发安卓app，功能如下: 选中文件夹1下的文件1，将文件1复制到文件夹2下，并对文件重命名。 要求如下: 1. 可以选择任意文件夹下的文件，选中后文件名显示在文本框中， 2. 可以选择任意文件夹为目标文件夹； 3. 文件名可手动输入 4. 点击确定按钮开始复制文件并重命名,https://www.zbj.com/xq/KIEgk8ATbxH8qvpw.html
python开发,Python数据分析处理软件开发,进行中,待服务商报价,数据处理软件开发,现有Matlab代码，转成python开发，做成软件,https://www.zbj.com/xq/vwiDklqOjx72Cm5a.html
python开发,python开发,进行中,500元,其他工具软件开发,把我提供的python源码（源码主程序400行）通过增减封装成dll供其他程序调用，完成后需要发回修改后的源码和封装好的dll的使用说明。,https://www.zbj.com/xq/y3PBZiPNKUEy3BGU.html
python开发,python开发,进行中,500元,API开发,用于快速自动化获取信息，,https://www.zbj.com/xq/h49EyFYa2NADlprV.html
python开发,python开发,进行中,500-700元,其他行业软件开发,我需要抓取一个网站，抓取的详情页已经有一个PDF模板，现在需要使用scrapy框架建ip池进行抓取 注意，有些详情也不一样，比如第一页和第二页，估计一条IP抓十来条网页数据,https://www.zbj.com/xq/wC3qQzsLGMiMlga6.html
python开发,Python开发,进行中,100-500元,数据处理软件开发,通过接口插入oracle数据库,https://www.zbj.com/xq/5OdAEu3InXs64Ay4.html
python开发,Python开发,进行中,2000-20000元,数据处理软件开发,对话应用系统，完成人机自然语言对话,https://www.zbj.com/xq/RjPF2ufTl4xOZVps.html
python开发,Python开发,进行中,200-500元,其他行业软件开发,Python开发，网站获取数据，预测，web展示。,https://www.zbj.com/xq/8RuNYg5dLhXgYOzF.html
python开发,开发python程序,进行中,2000元,API开发,采集，循环，制成表格，单线程，价格可谈，有实力的联系,https://www.zbj.com/xq/A2Yru6m4oi84nW3W.html
python开发,python程序开发,进行中,300元,数据处理软件开发,"程序是将商详数据保存成某宝csv格式, 数据源为json文件, 我们目前已经实现了一部分,在csv生成sku的字段属性值的部分快写吐了. 另外,如果可以获取到某宝的类目id,属性,实现自动填写更好. ,提供用例",https://www.zbj.com/xq/40M1fw8xVQVzWJgN.html
python开发,开发python脚本,进行中,待服务商报价,其他工具软件开发,• 应用场景：python脚本在linux系统跑代码并能通过usb连接已经授权过的苹果手机批量安装辅助ipa 脚本，安装前先卸载老版本。python需要在debdin或者centos系统跑代码并连接苹果设备,https://www.zbj.com/xq/jyf5u1UxBVnZNLg9.html
python开发,python程序开发,进行中,500元,其他软件开发,tcpdump应用开发,https://www.zbj.com/xq/bi1FbHjbWNZqnZRG.html
python开发,Python二次开发,进行中,2000元,网站二次开发,现有使用Python开发了某东商品信息采集以及商品价格对比的脚本。需要进行二次升级优化。,https://www.zbj.com/xq/fFOagGCcEnSC5NdN.html
python开发,Python 开发,进行中,100000元,网络安全防御,兼职全职调研竞品公司数据为我司做数据分析！待遇月薪资5W，有兴趣具体面聊！,https://www.zbj.com/xq/iVkYAKz8ltKPBq8M.html
python开发,Python软件开发,进行中,100元,数据处理软件开发,"开发一个Python软件，win11运行，具体要求咨询我。
应用场景：win11
参考效果：联系我发你视频",https://www.zbj.com/xq/CnFaVLf2THMxTxoG.html
python开发,python脚本开发,进行中,500-2000元,技术/专业写作,"https://jzsc.mohurd.gov.cn/data/person 1、我提供姓名、身份证号码,得到一条结果 然后点击姓名后的页面，点击“个人工程业绩”这页面，筛选出序号里面有2条数据的。姓名和身份证号码（标记出来）",https://www.zbj.com/xq/R9HeoUXt1LKwITKm.html
python开发,python 开发,进行中,20000元,数据处理软件开发,需要开发一款 领英**软件,https://www.zbj.com/xq/qyxpOBZfDlG3PrKB.html
python开发,python开发接口,进行中,10000-50000元,文字处理软件开发,调用***的接口，按分类生成文章，存入表里，会python,https://www.zbj.com/xq/z7KdbuGI3zoJUE6A.html
python开发,Ai和python开发,进行中,500-800元,其他工具软件开发,按照图片中的需求。完成后打成docker镜像。并对代码进行讲解,https://www.zbj.com/xq/LFVFOCAlj12rmPkN.html
python开发,Python**开发,进行中,待服务商报价,国内公司注册,Python**开发,https://www.zbj.com/xq/xILKh5fvggxWp9mP.html
python开发,网站自动化，python脚本开发,已完结,240元,数据处理软件开发,抓取八个网站的公告信息保存到表格,https://www.zbj.com/xq/8UoWcpHA0H2EmLhL.html
python开发,Python 开发的内网B/S应用维护,进行中,15000元,网站二次开发,【核心目标】 本项目是个小应用，本次需求的核心是进行网站二次开发，4个小功能。 【具体要求】 适配终端为PC网站，网站展示语言为中文，需实现其他特定功能。 【技术情况】 前端是reactjs+html 后端用python 希望找一个在西安的团队或者个人,https://www.zbj.com/xq/lPTO1nGF2dyQg9xF.html
python开发,python高级开发人员,进行中,11200元,数据处理软件开发,驻场服务，进行系统搭建调试工作。,https://www.zbj.com/xq/uxEaORseGOSshHer.html
python开发,使用python开发安卓app，简单,进行中,50元,前端开发工程师,1. 使用python开发安卓app，功能如下: 选中文件夹1下的文件1，将文件1复制到文件夹2下，并对文件重命名。 要求如下: 1. 可以选择任意文件夹下的文件，选中后文件名显示在文本框中， 2. 可以选择任意文件夹为目标文件夹； 3. 文件名可手动输入 4. 点击确定按钮开始复制文件并重命名,https://www.zbj.com/xq/KIEgk8ATbxH8qvpw.html
python开发,Python数据分析处理软件开发,进行中,待服务商报价,数据处理软件开发,现有Matlab代码，转成python开发，做成软件,https://www.zbj.com/xq/vwiDklqOjx72Cm5a.html
python开发,python开发,进行中,500元,其他工具软件开发,把我提供的python源码（源码主程序400行）通过增减封装成dll供其他程序调用，完成后需要发回修改后的源码和封装好的dll的使用说明。,https://www.zbj.com/xq/y3PBZiPNKUEy3BGU.html
python开发,python开发,进行中,500元,API开发,用于快速自动化获取信息，,https://www.zbj.com/xq/h49EyFYa2NADlprV.html
python开发,python开发,进行中,500-700元,其他行业软件开发,我需要抓取一个网站，抓取的详情页已经有一个PDF模板，现在需要使用scrapy框架建ip池进行抓取 注意，有些详情也不一样，比如第一页和第二页，估计一条IP抓十来条网页数据,https://www.zbj.com/xq/wC3qQzsLGMiMlga6.html
python开发,Python开发,进行中,100-500元,数据处理软件开发,通过接口插入oracle数据库,https://www.zbj.com/xq/5OdAEu3InXs64Ay4.html
python开发,Python开发,进行中,2000-20000元,数据处理软件开发,对话应用系统，完成人机自然语言对话,https://www.zbj.com/xq/RjPF2ufTl4xOZVps.html
python开发,Python开发,进行中,200-500元,其他行业软件开发,Python开发，网站获取数据，预测，web展示。,https://www.zbj.com/xq/8RuNYg5dLhXgYOzF.html
python开发,开发python程序,进行中,2000元,API开发,采集，循环，制成表格，单线程，价格可谈，有实力的联系,https://www.zbj.com/xq/A2Yru6m4oi84nW3W.html
python开发,python程序开发,进行中,300元,数据处理软件开发,"程序是将商详数据保存成某宝csv格式, 数据源为json文件, 我们目前已经实现了一部分,在csv生成sku的字段属性值的部分快写吐了. 另外,如果可以获取到某宝的类目id,属性,实现自动填写更好. ,提供用例",https://www.zbj.com/xq/40M1fw8xVQVzWJgN.html
python开发,开发python脚本,进行中,待服务商报价,其他工具软件开发,• 应用场景：python脚本在linux系统跑代码并能通过usb连接已经授权过的苹果手机批量安装辅助ipa 脚本，安装前先卸载老版本。python需要在debdin或者centos系统跑代码并连接苹果设备,https://www.zbj.com/xq/jyf5u1UxBVnZNLg9.html
python开发,python程序开发,进行中,500元,其他软件开发,tcpdump应用开发,https://www.zbj.com/xq/bi1FbHjbWNZqnZRG.html
python开发,Python二次开发,进行中,2000元,网站二次开发,现有使用Python开发了某东商品信息采集以及商品价格对比的脚本。需要进行二次升级优化。,https://www.zbj.com/xq/fFOagGCcEnSC5NdN.html
python开发,Python 开发,进行中,100000元,网络安全防御,兼职全职调研竞品公司数据为我司做数据分析！待遇月薪资5W，有兴趣具体面聊！,https://www.zbj.com/xq/iVkYAKz8ltKPBq8M.html
python开发,Python软件开发,进行中,100元,数据处理软件开发,"开发一个Python软件，win11运行，具体要求咨询我。
应用场景：win11
参考效果：联系我发你视频",https://www.zbj.com/xq/CnFaVLf2THMxTxoG.html
python开发,python脚本开发,进行中,500-2000元,技术/专业写作,"https://jzsc.mohurd.gov.cn/data/person 1、我提供姓名、身份证号码,得到一条结果 然后点击姓名后的页面，点击“个人工程业绩”这页面，筛选出序号里面有2条数据的。姓名和身份证号码（标记出来）",https://www.zbj.com/xq/R9HeoUXt1LKwITKm.html
python开发,python 开发,进行中,20000元,数据处理软件开发,需要开发一款 领英**软件,https://www.zbj.com/xq/qyxpOBZfDlG3PrKB.html
python开发,python开发接口,进行中,10000-50000元,文字处理软件开发,调用***的接口，按分类生成文章，存入表里，会python,https://www.zbj.com/xq/z7KdbuGI3zoJUE6A.html
python开发,Ai和python开发,进行中,500-800元,其他工具软件开发,按照图片中的需求。完成后打成docker镜像。并对代码进行讲解,https://www.zbj.com/xq/LFVFOCAlj12rmPkN.html
python开发,Python**开发,进行中,待服务商报价,国内公司注册,Python**开发,https://www.zbj.com/xq/xILKh5fvggxWp9mP.html
python开发,网站自动化，python脚本开发,已完结,240元,数据处理软件开发,抓取八个网站的公告信息保存到表格,https://www.zbj.com/xq/8UoWcpHA0H2EmLhL.html
